Labor force status,Govt or private employee,Do not have a car,Need but unable to use public transport.,How likely r make effort for new job next year,Could r find equally good job,Is r likely to lose job,Expanded norc. size code,Respondents income,Race of respondent,Respondents sex,Highest year of school completed,Age of respondent,Number of children,Rs occupational prestige score (2010)
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, med city",$17500 to 19999,White,Male,14,28,0,36
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,City gt 250000,Not applicable,Other,Male,11,24,1,46
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,City gt 250000,$35000 to 39999,Other,Female,12,36,5,38
Working parttime,Government,Yes,No,Very likely,Not applicable,Not applicable,City gt 250000,$12500 to 14999,Black,Female,13,41,1,34
Working parttime,Government,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$8 000 to 9 999,White,Male,15,24,0,65
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$25000 to 29999,Other,Male,14,28,0,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not too likely,"Suburb, lrg city",$7 000 to 7 999,Other,Male,6,51,1,42
School,Private,No,Yes,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$4 000 to 4 999,Other,Male,15,20,0,31
Working fulltime,Private,Not applicable,Not applicable,Very likely,Somewhat easy,Don't know,"Suburb, lrg city",$20000 to 22499,Other,Female,14,30,0,44
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,Other,Male,14,56,3,39
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Somewhat easy,Fairly likely,"Suburb, lrg city",$22500 to 24999,White,Female,14,44,6,50
Working fulltime,Private,No,No,Not at all likely,Very easy,Not too likely,"Suburb, lrg city",$20000 to 22499,White,Female,11,38,0,45
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$40000 to 49999,White,Female,16,34,0,61
School,Not applicable,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,15,21,0,0
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,White,Male,13,31,1,39
Working parttime,Private,No,No,Somewhat likely,Not easy,Not too likely,"Suburb, lrg city",Under $1 000,Other,Male,15,23,0,17
Working fulltime,Private,No,No,Very likely,Not easy,Very likely,"Suburb, lrg city",Refused,Other,Male,15,45,2,49
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,Other,Male,16,55,3,58
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$90000 - $109999,White,Female,16,56,1,64
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,Black,Male,12,23,0,25
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$90000 - $109999,Other,Female,17,61,0,64
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,White,Male,11,36,5,25
Working fulltime,Government,No,No,Very likely,Very easy,Don't know,"Suburb, lrg city",$6 000 to 6 999,White,Male,14,20,0,55
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,26,3,45
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$22500 to 24999,Other,Female,13,33,5,53
Working parttime,Private,No,No,Somewhat likely,Very easy,Very likely,"Suburb, lrg city",Not applicable,White,Female,13,28,1,47
"Unempl, laid off",Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$10000 to 12499,Other,Male,16,29,0,63
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$50000 to 59999,White,Male,17,57,0,48
Working parttime,Private,No,No,Somewhat likely,Somewhat easy,Not likely,City gt 250000,$17500 to 19999,Other,Female,16,25,0,50
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Female,10,64,1,29
Working fulltime,Private,No,No,Very likely,Very easy,Not likely,City gt 250000,$50000 to 59999,White,Male,14,37,0,32
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,City gt 250000,$30000 to 34999,Other,Female,14,26,0,45
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,Other,Female,16,28,0,31
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,White,Female,13,41,2,52
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Don't know,White,Male,14,70,5,45
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Refused,White,Female,15,57,2,40
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",$50000 to 59999,White,Male,14,48,1,43
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$90000 - $109999,Black,Male,18,40,1,60
Working fulltime,Private,No,No,Somewhat likely,Very easy,Not likely,"Suburb, lrg city",$22500 to 24999,White,Male,11,27,0,35
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,6,43,1,35
Working parttime,Private,No,No,Somewhat likely,Somewhat easy,Very likely,"Suburb, lrg city",$25000 to 29999,White,Female,14,61,3,46
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,Other,Female,10,43,4,0
Other,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,62,4,52
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,City gt 250000,$60000 to 74999,White,Female,9,64,1,38
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$60000 to 74999,White,Female,18,59,1,64
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,39,1,36
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,White,Male,11,62,4,53
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",$75000 to $89999,White,Female,17,49,3,64
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,84,2,46
Other,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,14,44,0,0
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Refused,White,Female,18,40,2,46
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$22500 to 24999,White,Female,16,39,0,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$110000 or over,White,Male,12,50,0,28
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$90000 - $109999,White,Female,20,44,2,80
Working fulltime,Private,Not applicable,Not applicable,No answer,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,17,28,0,35
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$20000 to 22499,White,Female,17,24,0,63
Working fulltime,Government,Not applicable,Not applicable,Very likely,Very easy,Not likely,City gt 250000,$4 000 to 4 999,Other,Male,14,20,0,21
Working fulltime,Private,No,No,Very likely,Somewhat easy,Not too likely,City gt 250000,Not applicable,Other,Male,16,22,0,37
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$4 000 to 4 999,Other,Male,12,38,0,40
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Female,9,69,1,22
Temp not working,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$17500 to 19999,Black,Female,11,24,1,49
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$30000 to 34999,Black,Female,14,54,1,46
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$60000 to 74999,White,Male,20,49,0,61
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$20000 to 22499,White,Female,16,32,1,39
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$35000 to 39999,White,Female,16,27,0,60
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,15,25,0,30
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Female,16,45,2,21
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",No answer,Other,Female,12,18,0,0
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$50000 to 59999,Other,Female,12,25,1,48
Working fulltime,Private,No,No,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$12500 to 14999,White,Female,12,22,0,32
Working fulltime,Government,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,36,3,42
Working fulltime,Private,Not applicable,Not applicable,Very likely,Somewhat easy,Not too likely,"Suburb, lrg city",$12500 to 14999,White,Male,13,19,0,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$35000 to 39999,White,Female,16,60,0,46
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,City gt 250000,Refused,White,Female,16,25,0,58
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not easy,Not likely,City gt 250000,Not applicable,White,Female,18,39,0,46
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,City gt 250000,$75000 to $89999,White,Male,16,28,0,39
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,City gt 250000,$35000 to 39999,White,Female,13,43,0,57
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,City gt 250000,$110000 or over,White,Female,17,56,0,47
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not too likely,"Suburb, lrg city",Not applicable,White,Female,19,42,4,59
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",No answer,White,Male,16,46,2,0
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,14,41,1,0
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"City,50-250000",$20000 to 22499,White,Female,16,35,2,52
Working parttime,Government,No,No,Not at all likely,Not applicable,Not applicable,"City,50-250000",$6 000 to 6 999,White,Female,13,57,2,16
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,16,53,3,48
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",$15000 to 17499,White,Female,14,50,1,50
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",No answer,White,Female,12,76,4,0
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,12,45,5,32
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",$17500 to 19999,White,Female,12,66,3,47
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"City,50-250000",No answer,White,Male,14,49,3,0
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,13,67,2,47
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$25000 to 29999,White,Female,16,25,0,57
Working fulltime,Private,No,No,Somewhat likely,Not easy,Not likely,"Suburb, lrg city",$25000 to 29999,White,Female,12,70,0,45
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,14,77,4,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$75000 to $89999,White,Male,16,46,0,45
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,14,23,0,28
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Very easy,Not too likely,"Suburb, lrg city",$8 000 to 9 999,White,Female,16,39,2,61
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$5 000 to 5 999,Other,Female,14,22,0,31
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$20000 to 22499,Black,Female,12,46,3,34
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,14,78,2,40
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,White,Male,13,46,2,50
Working parttime,Private,No,No,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$60000 to 74999,Other,Female,15,36,2,62
Temp not working,Private,No,No,Somewhat likely,Not easy,Not too likely,"Suburb, lrg city",Not applicable,White,Female,15,53,Dk na,47
Working parttime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$17500 to 19999,White,Female,12,67,3,38
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,White,Male,12,41,2,35
Working parttime,Private,No,No,Somewhat likely,Somewhat easy,Not likely,"Suburb, lrg city",Not applicable,Other,Female,15,22,0,48
Other,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,14,63,2,47
